model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON
A_MOS_Ridge,train,2.5273,3.3471,0.9659,2.8648,2.9418,2.1207,2.1844
A_MOS_Ridge,val,2.3878,3.2231,0.9676,2.6617,2.7629,2.0622,2.0669
A_MOS_Ridge,test,2.22,2.9179,0.9677,2.365,2.471,2.0941,1.9493
A_MOS_Ridge,oos,2.2473,2.9643,0.9743,2.2246,2.745,2.0441,1.9721
A_MOS_NN,train,2.5087,3.3429,0.966,2.7933,2.8841,2.1425,2.2172
A_MOS_NN,val,2.4528,3.3587,0.9648,2.4643,2.8162,2.253,2.2761
A_MOS_NN,test,2.2937,3.0258,0.9653,2.26,2.5824,2.1978,2.1322
A_MOS_NN,oos,2.2991,3.0032,0.9736,2.1469,2.6967,2.1772,2.1708
B_Hybrid_Ridge,train,2.3776,3.1209,0.9704,2.6242,2.8542,1.9563,2.0771
B_Hybrid_Ridge,val,2.3382,3.0938,0.9702,2.486,2.8084,2.0334,2.0248
B_Hybrid_Ridge,test,2.1207,2.7705,0.9709,2.3806,2.5241,1.8018,1.7767
B_Hybrid_Ridge,oos,2.2596,2.9533,0.9745,2.1174,3.0368,2.0258,1.8507
B_Hybrid_NN,train,2.0015,2.6764,0.9782,2.0881,2.3765,1.7647,1.7757
B_Hybrid_NN,val,2.2595,2.9532,0.9728,2.4042,2.7932,1.9195,1.9204
B_Hybrid_NN,test,2.0858,2.7872,0.9705,2.3109,2.4164,1.8644,1.7516
B_Hybrid_NN,oos,2.1769,2.8743,0.9758,1.9376,3.0301,1.9302,1.8005
B_Hybrid_NN_small,train,2.2732,2.9939,0.9727,2.4008,2.6937,2.0056,1.992
B_Hybrid_NN_small,val,2.2876,3.0335,0.9713,2.4651,2.7973,1.9474,1.9409
B_Hybrid_NN_small,test,2.0971,2.8265,0.9697,2.3713,2.4342,1.8407,1.7429
B_Hybrid_NN_small,oos,2.1963,2.8922,0.9755,1.965,3.0979,1.8861,1.8273
C_Correction_Ridge,train,2.3741,3.1071,0.9706,2.6236,2.8242,1.9749,2.0751
C_Correction_Ridge,val,2.3444,3.0878,0.9703,2.5053,2.8084,2.023,2.0412
C_Correction_Ridge,test,2.1241,2.7609,0.9711,2.3593,2.5479,1.8255,1.7637
C_Correction_Ridge,oos,2.2552,2.9305,0.9748,2.1253,3.006,2.0075,1.875
C_Correction_NN,train,2.2593,2.9689,0.9732,2.4363,2.6491,1.9786,1.9735
C_Correction_NN,val,2.1493,2.8815,0.9741,2.2624,2.6015,1.8773,1.8553
C_Correction_NN,test,2.1176,2.7991,0.9703,2.3715,2.5298,1.7795,1.7902
C_Correction_NN,oos,2.0556,2.7378,0.978,1.9439,2.7484,1.7721,1.7524
C_Correction_NN_tiny,train,2.2214,2.9457,0.9736,2.3784,2.6691,1.8843,1.9537
C_Correction_NN_tiny,val,2.1642,2.9028,0.9737,2.3011,2.6191,1.9171,1.8188
C_Correction_NN_tiny,test,2.0901,2.7811,0.9707,2.2998,2.5751,1.7823,1.7025
C_Correction_NN_tiny,oos,2.0932,2.7714,0.9775,1.9381,2.8632,1.7454,1.8197
D_Stack_Ridge,test,2.1584,2.7952,0.9704,2.2912,2.5727,1.87,1.8991
D_Stack_NN,test,4.2692,5.1327,0.9,4.1237,4.1742,4.0131,4.7691
D_SimpleAvg,test,3.1085,4.0912,0.9365,3.3567,4.2052,2.3062,2.5641
D_Stack_Ridge,oos,2.3322,3.0507,0.9727,2.139,3.0694,2.0316,2.082
D_Stack_NN,oos,4.4855,5.4097,0.9143,3.3126,4.9603,4.1919,5.4625
D_SimpleAvg,oos,3.2127,4.232,0.9475,3.0766,4.9151,2.5232,2.3234
E_cold_Ridge,test,2.5097,3.1431,0.8905,2.4154,2.9765,,2.3119
E_cold_Ridge,oos,2.459,3.2564,0.9119,2.1393,3.9362,,1.8914
E_cold_NN,test,2.503,3.2348,0.884,2.4365,2.765,,2.4327
E_cold_NN,oos,2.2774,3.0877,0.9208,1.9523,3.2932,,2.2032
E_warm_Ridge,test,1.9588,2.6318,0.9349,,2.4746,1.7741,1.7217
E_warm_Ridge,oos,2.2435,2.8924,0.9359,,2.7736,2.0801,1.9598
E_warm_NN,test,2.0253,2.6534,0.9338,,2.5976,1.8236,1.7572
E_warm_NN,oos,2.1891,2.7631,0.9415,,2.6495,2.0069,2.0036
E_Blended_Ridge,test,2.1872,2.8549,0.9691,2.4154,2.6437,1.7741,1.9162
E_Blended_NN,test,2.2422,2.9149,0.9678,2.4777,2.5553,1.9119,2.0255
E_Blended_Ridge,oos,2.3326,3.0483,0.9728,2.1393,3.1653,2.0801,1.9372
E_Blended_NN,oos,2.252,2.9741,0.9741,2.1022,3.1559,1.8938,1.8484
F_HGB_delta,train,1.8365,2.4351,0.982,1.8277,2.2329,1.5241,1.7601
F_HGB_delta,val,2.4469,3.225,0.9676,2.6135,3.0565,2.0323,2.085
F_HGB_delta,test,2.2551,2.9205,0.9676,2.4513,2.5422,1.9974,2.03
F_HGB_delta,oos,2.3501,3.1004,0.9718,2.3149,3.2776,1.8787,1.9238
F_HGB_raw,train,1.934,2.5182,0.9807,2.0431,2.2208,1.7147,1.7576
F_HGB_raw,val,2.2623,3.0283,0.9714,2.453,2.7167,1.9232,1.9573
F_HGB_raw,test,2.145,2.8424,0.9693,2.2697,2.5711,1.9171,1.8206
F_HGB_raw,oos,2.1691,2.8554,0.9761,2.0672,2.89,1.8186,1.8955
F_GB_delta,train,1.7341,2.3325,0.9835,1.7021,2.1469,1.4324,1.6535
F_GB_delta,val,2.4278,3.1737,0.9686,2.69,2.9495,1.9892,2.0844
F_GB_delta,test,2.1617,2.8371,0.9695,2.244,2.4961,1.9715,1.9341
F_GB_delta,oos,2.2667,2.9789,0.974,2.102,3.1699,1.866,1.9218
