model,contract_brier,n_dates,brier_DJF,brier_MAM,brier_JJA,brier_SON
Kalshi_Market,0.133515275024777,0,0.13965494791666666,0.14322035984848486,0.132667166344294,0.11803280933062879
E19_platt_ensemble,0.14237296288449422,356,0.14480420132010952,0.1411406144081432,0.14071873482155345,0.1430604303387708
E16_platt_ridge,0.14510507598090658,356,0.14483205498713905,0.14322550211811447,0.1466541047445459,0.14575947193579733
E20_ridge_iso_brier_platt,0.1455370197712455,356,0.1454608990201377,0.14362162884487573,0.146618233932705,0.14652865597445133
E18_ridge_crps_sigma,0.1767965634759464,356,0.19300141026625386,0.16832856201575347,0.16893115280599347,0.17833651403984077
E7_ridge_base,0.17701658202955373,356,0.19245086407234163,0.16852192784854844,0.17007235937957704,0.17836929021833783
E17_ridge_brier_sigma,0.1771646571506832,356,0.1989380407019334,0.16949563387397443,0.1614108834029561,0.18069958861737093
E11_ridge_season_sigma,0.17724507707834875,356,0.19835330941680168,0.17047874277656902,0.16328484031996576,0.178579996739538
E9_ridge_sigma_scaled,0.17727931391163856,356,0.19926696198121324,0.16967410019911533,0.16115799922189822,0.18092272458387432
E8_ridge_isotonic,0.1793576362788774,356,0.19808625022634418,0.17091581304839565,0.1710498403037709,0.17887625390573425
E10_ridge_iso_sigma,0.18097867035277357,356,0.20684181108207209,0.1736176050210307,0.16326503625705077,0.18225713642292704
E14_ensemble_season_sigma,0.1940045580117951,356,0.19254844412832767,0.18748990935986604,0.20484040308624996,0.19103607372942136
E6_nn_iso_season_sigma,0.20208580373859428,356,0.19897924362099526,0.1974203249882159,0.21252868600939923,0.19915588792245062
E5_nn_isotonic_sigma,0.20295774314902953,356,0.20104043910847835,0.1977408209029382,0.21169240893174776,0.20125189867790466
E15_nn_conditional_sigma,0.2034981164719942,356,0.2021596200424168,0.19684493997141111,0.214682956189813,0.20019749445250676
E2_nn_sigma_scaled,0.2052222300971927,356,0.1992641769416427,0.1984817459296762,0.2203255505835206,0.20240361846165755
E13_ensemble_isotonic,0.2105133323260287,356,0.19884048210763894,0.2049297211903311,0.22756426572441918,0.2099773936191476
E12_ensemble_avg,0.21077422440749788,356,0.19873411910687827,0.20504268527860162,0.22833931643703753,0.2102150978863674
E1_nn_isotonic,0.21452452681762416,356,0.2022534029674621,0.20909750553326403,0.23194661612014877,0.21401415464077755
E4_nn_seasonal_bias,0.21484009407158167,356,0.20143622967977656,0.20912042968593508,0.23395959231300473,0.21396597056827965
E3_nn_global_bias,0.21498612473974218,356,0.20164060105947995,0.20902780699052587,0.23398250389144468,0.21443990793787987
E0_base_nn,0.21501527144338453,356,0.20174556190212023,0.20916575579680746,0.23402856339691874,0.21426097712537706
