month,model_brier,market_brier,brier_delta,n_samples
1,0.18139576659965448,0.020011290322580647,0.16138447627707384,372
2,0.16973762077554164,0.02070087719298246,0.14903674358255917,342
3,0.18497675188523066,0.020142473118279568,0.1648342787669511,372
4,0.18228192621057612,0.01174361111111111,0.17053831509946502,360
5,0.18930674351395232,0.01396801075268817,0.17533873276126416,372
6,0.17923840239065944,0.018549444444444445,0.160688957946215,360
7,0.16496037570067573,0.02889193548387096,0.13606844021680478,372
8,0.17196404363410214,0.027679838709677423,0.14428420492442473,372
9,0.17707055679556202,0.03333555555555556,0.14373500124000646,360
10,0.17700234761250563,0.04210833333333334,0.1348940142791723,372
11,0.17606235978564141,0.03236083333333333,0.14370152645230808,360
12,0.1879228574740748,0.03006611570247934,0.15785674177159548,363
